Тема;Категория;Статус;Дата публикации
Мария Склодовская-Кюри: Серия - Часть 2: Открытие радия, Нобелевские премии и трагедия;Люди;;
Флорбол: правила, история и популярность в Скандинавии;Спорт;;
Гравитационные волны: детекторы LIGO и Virgo, подтверждение теории Эйнштейна;Наука;;
Дорога инков в Перу: система дорог Qhapaq ?an и подвесные мосты;Путешествия;;
Ядовитые лягушки-древолазы: яркая окраска и токсины (батрахотоксин);Животные;;
"Корабль ""Мария Селеста"": тайна исчезновения экипажа";История;;
Город-крепость Харар, Эфиопия: 99 мечетей и уникальная планировка;Архитектура;;
Сатурн: плотность меньше плотности воды и ледяные кольца;Космос;;
Кровавые (розовые) ледники Антарктиды: водоросли Chlamydomonas nivalis;Природа;;
Александрийская библиотека: Серия - Часть 1: Основание и величие в античности;История;;
Александрийская библиотека: Серия - Часть 2: Пожары, разрушение и утрата знаний;История;;
Архив Александрии: попытки восстановления с помощью ИИ и папирусов;Технологии;;
"Александр Суворов: ""Не числом, а умением"", переход через Альпы";Люди;;
Паралимпийские игры: Оскар Писториус и бегуны на протезах;Спорт;;
Ячейки Бенара: самоорганизация жидкости при нагреве;Явления;;
Остров Рождества: миграция красных крабов - одно из чудес природы;Путешествия;;
"Ультразвуковые ""песни"" мышей и крыс: коммуникация и брачное поведение";Животные;;
Письма Петра I: реформы, строительство флота и бытовые зарисовки;История;;
Башня Монастыря Св. Бенедикта (Олинда, Бразилия): барокко и вид на город;Архитектура;;
Черные дыры: гравитационные линзы как способ их обнаружения;Космос;;
"Цветение пустыни Атакама: феномен ""desierto florido"" после дождей";Природа;;
Генная терапия: лечение наследственных заболеваний (гемофилия, муковисцидоз);Наука;;
Баба-Яга (Василиса Великая?): образ в славянском фольклоре (избушка, ступа);Культура;;
Квантовые точки: применение в дисплеях (QLED), медицине, солнечных батареях;Наука;;
Айя-София в Стамбуле: храм, мечеть, музей - история трансформаций;Архитектура;;
"Манта (""Морской дьявол""): гигантский скат, фильтрующий планктон";Животные;;
Письма Жанны д'Арк: обращение к королю, военные приказы;История;;
Дом-корабль (Виндефьорд, Норвегия): интеграция яхты в ландшафт;Архитектура;;
Марс: потеря атмосферы из-за отсутствия магнитного поля;Космос;;
Торосы: нагромождения льда в Арктике и Антарктике;Природа;;
Нейронные сети: обучение с подкреплением и генеративные модели (ChatGPT);Технологии;;
"Лиза Миннелли: дочь Джуди Гарленд, карьера в кино и на Бродвее (""Кабаре"")";Люди;;
Геном неандертальцев: вклад в геном современных людей (иммунитет, цвет кожи);Наука;;
Мадагаскар: эндемики острова (лемуры, тенреки, фосса);Природа;;
Летучие собаки (крыланы): питание фруктами и роль в опылении;Животные;;
Письма Сталина: стиль, директивы и контроль над партией;История;;
Елагин дворец (Дворец Кутузова? Ошибка в списке?): архитектура Росси, интерьеры;Архитектура;;
Венера: экстремальные условия (температура, давление, кислотные дожди);Космос;;
Поющие дюны пустыни Намиб: механизм возникновения звука;Природа;;
Кассетный магнитофон (Walkman): революция в портативной музыке;Технологии;;
Александр Невский: Ледовое побоище и отношения с Ордой;История;;
Остров Пасхи: загадка перемещения статуй моаи;Путешествия;;
Гигантский кальмар: редкие наблюдения живых особей и размеры;Животные;;
Письма Наполеона: Египетский поход, Розеттский камень;История;;
Дом-яйцо (Ufogel, Австрия или другое?): минимализм и необычная форма;Архитектура;;
Млечный Путь: спиральная структура и место Солнечной системы;Космос;;
Ядерный синтез: перспективы как источника энергии (ITER);Технологии;;
Архимед: Серия - Часть 1: Жизнь в Сиракузах и математические труды;Люди;;
Архимед: Серия - Часть 2: Закон рычага, закон Архимеда, военные машины;Люди;;
Паралимпийские игры: история и развитие движения;Спорт;;
Магнитное поле Земли: защита от космической радиации и навигация животных;Наука;;
Дерево Туле (Мексика): самое толстое дерево в мире (кипарис);Природа;;
Колосс Родосский: одно из семи чудес света (строительство и разрушение);История;;
Птица-секретарь: охота на змей и длинные ноги;Животные;;
Штрих-код: история изобретения и применение;Технологии;;
Висячие сады Семирамиды: исторические свидетельства и возможная локация;Архитектура;;
Фердинанд Магеллан: первое кругосветное плавание;Люди;;
Огни святого Эльма на самолетах и во время гроз;Явления;;
"Японская гравюра Укиё-э: Хокусай, Хиросигэ, ""Большая волна в Канагаве""";Культура;;
Галактика Водоворот (M51): спиральная галактика со спутником;Космос;;
"Транссибирская магистраль: путешествие на поезде ""Золотой орел""";Путешествия;;
Теория относительности: Серия - Часть 1: Специальная теория (постоянство скорости света, E=mc?);Наука;;
Теория относительности: Серия - Часть 2: Общая теория (гравитация как искривление пространства-времени);Наука;;
Мертвое море: Серия - Часть 1: География, геология и экстремальная соленость;Природа;;
Мертвое море: Серия - Часть 2: Уникальные минералы, лечебные грязи и туризм;Природа;;
Мертвое море: Серия - Часть 3: Экологические проблемы и угроза высыхания;Природа;;
Панда: бамбуковая диета и дипломатия панд;Животные;;
Мачу-Пикчу: Серия - Часть 1: Открытие Хирамом Бингемом и история инков;Архитектура;;
Мачу-Пикчу: Серия - Часть 2: Строительные технологии и назначение (крепость, резиденция?);Архитектура;;
Мачу-Пикчу: Серия - Часть 3: Священные камни (Интиуатана) и астрономическая ориентация;Архитектура;;
Илон Маск: SpaceX, Tesla, Neuralink - визионер или авантюрист?;Люди;;
Загадка Тунгусского метеорита: версии (комета, астероид, ?);История;;
Венецианский карнавал: Серия - Часть 1: История возникновения и золотой век;Культура;;
Венецианский карнавал: Серия - Часть 2: Типы масок и их значение;Культура;;
Венецианский карнавал: Серия - Часть 3: Современные традиции, балы и шествия;Культура;;
Большой адронный коллайдер (БАК): поиски бозона Хиггса и новой физики;Космос;;
Графен: уникальные свойства и потенциальное применение;Технологии;;
Формула E: гонки на электромобилях;Спорт;;
Солнечные затмения в истории и культуре: предзнаменования и ритуалы;Явления;;
Антарктида: научные станции и исследования континента;Путешествия;;
Синтетическая биология: создание искусственных организмов;Наука;;
Светящиеся черви Арандокампа: новозеландские пещеры (*уточнение Вайтомо*);Природа;;
Синий кит: самое большое животное на Земле;Животные;;
Саграда Фамилия (Барселона): Гауди, долгострой и уникальная архитектура;Архитектура;;
Николай Коперник: гелиоцентрическая система мира;Люди;;
Древний Китай: династии, изобретения (порох, бумага, компас);История;;
Опера: история жанра (Монтеверди, Верди, Пуччини);Культура;;
Меркурий: самая близкая к Солнцу планета, экстремальные температуры;Космос;;
Дополненная реальность (AR): наложение цифровой информации на реальный мир;Технологии;;
Сумо: ритуалы перед поединком (соль, вода);Спорт;;
Миражи в пустыне: как образуются оазисы-призраки;Явления;;
Япония: Токио - мегаполис контрастов (традиции и технологии);Путешествия;;
Психоанализ Фрейда: структура личности (Оно, Я, Сверх-Я);Наука;;
Амазонка: Серия - Часть 1: География и гидрология самой полноводной реки;Природа;;
Амазонка: Серия - Часть 2: Уникальное биоразнообразие (рыбы, рептилии, млекопитающие);Природа;;
Амазонка: Серия - Часть 3: Коренные народы и угрозы для экосистемы;Природа;;
Шимпанзе: ближайший родственник человека (интеллект, использование орудий);Животные;;
Версальский дворец, Франция: символ абсолютизма Людовика XIV;Архитектура;;
"Людовик XIV: ""Король-Солнце"", долгое правление";Люди;;
Колонизация Америки: Испания, Португалия, Англия, Франция;История;;
Блюз: музыкальный жанр (истоки, дельта-блюз, Роберт Джонсон);Культура;;
Червоточины (кротовые норы): гипотетические туннели в пространстве-времени;Космос;;
Искусственный интеллект в медицине: диагностика, разработка лекарств;Технологии;;
Регби-7: олимпийская версия регби;Спорт;;
Полярный вихрь: влияние на погоду в умеренных широтах;Явления;;
"Иордания: Вади-Рам - ""Лунная долина"", съемки ""Марсианина""";Путешествия;;
Микробиом человека: бактерии, живущие в нашем теле;Наука;;
Красное дерево (секвойя вечнозелёная): продолжительность жизни и размеры (*отличие от Гипериона*);Природа;;
Ленивец: Серия - Часть 1: Виды ленивцев (двупалые и трехпалые) и их образ жизни;Животные;;
Ленивец: Серия - Часть 2: Уникальный метаболизм и медлительность;Животные;;
Ленивец: Серия - Часть 3: Симбиоз с водорослями и молью, спуск на землю;Животные;;
Бурдж-эль-Араб, Дубай: отель-парус, символ роскоши;Архитектура;;
Билл Гейтс: основатель Microsoft и филантроп;Люди;;
Опиумные войны между Британией и Китаем;История;;
Китайская кухня: региональные различия (сычуаньская, кантонская);Культура;;
Галактические нити и войды: крупномасштабная структура Вселенной;Космос;;
Мобильная связь: от 1G до 5G и будущее 6G;Технологии;;
Скейтбординг: история культуры и олимпийский дебют;Спорт;;
Оползни: причины возникновения и меры предотвращения;Явления;;
Южная Корея: Сеул - K-pop, дворцы и современные технологии;Путешествия;;
Когнитивная психология: изучение внимания, памяти, мышления;Наука;;
Марианская впадина: самое глубокое место в океане;Природа;;
Глубоководные рыбы: адаптация к темноте и давлению (удильщик, макропинна);Животные;;
Храм Гроба Господня, Иерусалим: главная святыня христианства;Архитектура;;
Стив Джобс: основатель Apple, революция в персональных компьютерах и смартфонах;Люди;;
Гражданская война в России (1917-1922): красные против белых;История;;
Аниме и манга: японская анимация и комиксы;Культура;;
Экзопланеты: методы обнаружения (транзитный, лучевых скоростей);Космос;;
3D-печать домов: быстрое и доступное строительство?;Технологии;;
Скачки: история и знаменитые ипподромы (Эпсом, Аскот);Спорт;;
Песчаные бури (пыльные бури): причины и влияние на климат и здоровье;Явления;;
Перу: Лима - колониальная архитектура и современная гастрономия;Путешествия;;
Нейробиология: изучение мозга и нервной системы;Наука;;
"Великая рифтовая долина (Африка): тектонический разлом и ""колыбель человечества""";Природа;;
Носорог: виды, угроза исчезновения и рог (кератин);Животные;;
Акрополь, Афины: Парфенон, Эрехтейон, Пропилеи;Архитектура;;
"Гомер: легендарный автор ""Илиады"" и ""Одиссеи"" (существовал ли он?)";Люди;;
Средневековые рыцарские турниры: правила и ритуалы;История;;
Средневековые манускрипты: иллюминация и скриптории;Культура;;
Туманности: типы (эмиссионные, отражательные, темные) и примеры (Ориона, Орла);Космос;;
Блокчейн вне криптовалют: применение в логистике, медицине, голосовании;Технологии;;
Боевые искусства: каратэ, дзюдо, тхэквондо - история и философия;Спорт;;
Радужный флаг: символ ЛГБТ-движения и его история;Явления;;
Аргентина: Буэнос-Айрес - танго, архитектура и культура;Путешествия;;
Генетический код: универсальный язык жизни;Наука;;
Гора Денали (Мак-Кинли), Аляска: самая высокая вершина Северной Америки;Природа;;
Гризли: подвид бурого медведя Северной Америки;Животные;;
Романский стиль: замки и церкви раннего Средневековья;Архитектура;;
Карл Великий: император Запада, Каролингское возрождение;Люди;;
Вильгельм Завоеватель и Нормандское завоевание Англии (1066);История;;
Гобелен из Байё: вышитая история битвы при Гастингсе;Культура;;
"Кометы: ""грязные снежки"" (ядро, кома, хвост), комета Галлея";Космос;;
Квантовая криптография: защита информации с помощью квантовой механики;Технологии;;
Американский футбол: НФЛ, Супербоул, правила игры;Спорт;;
Цунами: Серия - Часть 1: Причины возникновения (землетрясения, вулканы, оползни);Явления;;
Цунами: Серия - Часть 2: Распространение волн и воздействие на побережье;Явления;;
Цунами: Серия - Часть 3: Исторические цунами и системы предупреждения;Явления;;
Египет: Луксор - Карнакский и Луксорский храмы, Долина Царей;Путешествия;;
Археология: методы раскопок и датировки находок;Наука;;
Река Миссисипи: крупнейшая речная система Северной Америки;Природа;;
Аллигатор: отличие от крокодила, обитание в Северной Америке;Животные;;
Империя инков: Серия - Часть 1: Архитектура без раствора (Саксайуаман);Архитектура;;
Империя инков: Серия - Часть 2: Система дорог и подвесные мосты;Архитектура;;
Империя инков: Серия - Часть 3: Узелковое письмо кипу и его загадка;Архитектура;;
Александр Македонский: завоевания и создание империи;Люди;;
Эллинизм: распространение греческой культуры после походов Александра;История;;
Древнегреческий театр: трагедия (Эсхил, Софокл, Еврипид) и комедия (Аристофан);Культура;;
Поиск воды на Луне: лунный лед и перспективы колонизации;Космос;;
Топливные элементы: преобразование химической энергии в электрическую (водород);Технологии;;
Формула 1: Серия - Часть 1: История зарождения и первые чемпионаты;Спорт;;
Формула 1: Серия - Часть 2: Технологии (аэродинамика, двигатели, шины);Спорт;;
Формула 1: Серия - Часть 3: Легендарные трассы (Монако, Спа, Монца);Спорт;;
Вулканическая зима: как извержения влияют на глобальный климат;Явления;;
Куба: Гавана - старинные автомобили, колониальная архитектура, сигары;Путешествия;;
Этология: изучение поведения животных (Конрад Лоренц, импринтинг);Наука;;
Карпаты: горная система в Восточной Европе (леса, полонины);Природа;;
Бурый медведь: образ жизни, питание, зимняя спячка;Животные;;
Классицизм в архитектуре: ордерная система, симметрия, гармония;Архитектура;;
Вольтер: философ эпохи Просвещения, критика церкви и абсолютизма;Люди;;
Просвещение: эпоха разума, наука, философия, права человека;История;;
Классическая музыка: Венская классическая школа (Гайдн, Моцарт, Бетховен);Культура;;
Солнце: строение звезды (ядро, фотосфера, корона), солнечные вспышки;Космос;;
Оптоволокно: передача информации с помощью света;Технологии;;
Велоспорт: виды (шоссе, трек, маунтинбайк) и знаменитые гонки;Спорт;;
Ураганы (тайфуны, циклоны): образование, шкала Саффира-Симпсона;Явления;;
Таиланд: Бангкок - храмы, рынки, уличная еда;Путешествия;;
Экология: наука о взаимодействии живых организмов и среды обитания;Наука;;
Река Волга: самая длинная река Европы;Природа;;
Осетр: древняя рыба, источник черной икры;Животные;;
Ар-деко: стиль 1920-1930-х годов (геометрия, роскошь, Крайслер-билдинг);Архитектура;;
"Фрэнсис Скотт Фицджеральд: писатель ""эпохи джаза"" (""Великий Гэтсби"")";Люди;;
Великая депрессия в США (1929-1939): причины и последствия;История;;
Свинг и биг-бэнды: музыка эпохи джаза (Дюк Эллингтон, Бенни Гудмен);Культура;;
Происхождение Луны: гипотеза гигантского столкновения;Космос;;
Термоядерный синтез: Серия - Часть 1: Принцип работы и топливо (дейтерий, тритий);Технологии;;
Термоядерный синтез: Серия - Часть 2: Проект ITER и другие экспериментальные реакторы;Технологии;;
Термоядерный синтез: Серия - Часть 3: Перспективы и проблемы создания термоядерной энергетики;Технологии;;
Бильярд: виды игры (пул, снукер, карамболь);Спорт;;
"Метеоры (""падающие звезды"") и метеорные потоки (Персеиды, Леониды)";Явления;;
Вьетнам: Бухта Халонг - известняковые острова и изумрудная вода;Путешествия;;
Палеонтология: изучение ископаемых остатков и эволюции жизни;Наука;;
Пустыня Калахари, Южная Африка: бушмены, сурикаты;Природа;;
Сурикат: социальное поведение и коллективная бдительность;Животные;;
Конструктивизм в архитектуре: советский авангард 1920-х (Мельников, Гинзбург);Архитектура;;
"Казимир Малевич: художник-авангардист, супрематизм (""Черный квадрат"")";Люди;;
СССР: индустриализация, коллективизация, Великая Отечественная война;История;;
Советский плакат: искусство пропаганды;Культура;;
Жизнь на Титане? Метановые озера и возможность экзотической биохимии;Космос;;
Голография: создание объемных изображений;Технологии;;
Альпинизм: Серия - Часть 1: История покорения Эвереста (Хиллари и Тенцинг);Спорт;;
"Альпинизм: Серия - Часть 2: ""Семь вершин"" - программа восхождений на высочайшие горы континентов";Спорт;;
Альпинизм: Серия - Часть 3: Опасности (высотная болезнь, лавины) и снаряжение;Спорт;;
Биолюминесценция у глубоководных организмов: функции (приманка, маскировка, общение);Явления;;
Непал: Катманду, Гималаи, треккинг к базовому лагерю Эвереста;Путешествия;;
Землетрясения: Серия - Часть 1: Тектоника плит и очаги землетрясений;Наука;;
Землетрясения: Серия - Часть 2: Шкалы измерения (Рихтера, Меркалли, магнитуда);Наука;;
Землетрясения: Серия - Часть 3: Предсказание землетрясений: мифы и реальность;Наука;;
Большой Каньон Колорадо: геологическая история и слои горных пород;Природа;;
Калифорнийский кондор: самая крупная птица Северной Америки, спасение от вымирания;Животные;;
Древний Рим: Серия - Часть 1: Пантеон - инженерное чудо купола;Архитектура;;
Древний Рим: Серия - Часть 2: Акведуки - система водоснабжения Рима;Архитектура;;
Древний Рим: Серия - Часть 3: Колизей - арена гладиаторов и зрелищ;Архитектура;;
Юлий Цезарь: полководец, политик, диктатор;Люди;;
Римская империя: расцвет (Pax Romana) и упадок;История;;
Римское право: основа современной юриспруденции;Культура;;
"Космический телескоп ""Кеплер"": охота за экзопланетами";Космос;;
Аддитивные технологии (3D-печать): материалы и методы;Технологии;;
Водное поло: правила и история олимпийского вида спорта;Спорт;;
Мираж: Серия - Часть 1: Физика нижних и верхних миражей;Явления;;
Мираж: Серия - Часть 2: Фата-моргана - сложные искажения объектов;Явления;;
Мираж: Серия - Часть 3: Миражи в пустынях и на море, легенды;Явления;;
Марокко: Марракеш - площадь Джемаа аль-Фна, медина, сады Мажорель;Путешествия;;
Эпигенетика: как образ жизни и среда влияют на работу генов;Наука;;
Река Ориноко, Южная Америка: дельта, бифуркация Касикьяре;Природа;;
Анаконда: самая тяжелая змея в мире;Животные;;
Гауди: Серия - Часть 1: Жизнь и стиль Антонио Гауди;Архитектура;;
Гауди: Серия - Часть 2: Парк Гуэль - сказочная архитектура и мозаика;Архитектура;;
Гауди: Серия - Часть 3: Саграда Фамилия - незавершенный шедевр;Архитектура;;
Фрида Кало: мексиканская художница, автопортреты и трагическая судьба;Люди;;
Майя: цивилизация Мезоамерики (письменность, календарь, астрономия);История;;
Игра в мяч у Майя: ритуальное значение и правила;Культура;;
Влияние Луны на Землю: приливы, стабилизация оси вращения;Космос;;
Дроны (БПЛА): применение в фотографии, доставке, сельском хозяйстве;Технологии;;
Триатлон: плавание, велогонка, бег - испытание на выносливость (Ironman);Спорт;;
Загадка Бермудского треугольника: Серия - Часть 1: Известные исчезновения;Явления;;
Загадка Бермудского треугольника: Серия - Часть 2: Рациональные объяснения (погода, ошибки, метан);Явления;;
Загадка Бермудского треугольника: Серия - Часть 3: Мифы и популярная культура;Явления;;
Чили: пустыня Атакама - самое сухое место, солончаки, обсерватории;Путешествия;;
Астрономия в Чили: крупнейшие обсерватории мира (VLT, ALMA);Наука;;
Гавайские острова: вулканическое происхождение, активные вулканы (Килауэа);Природа;;
Гавайская казарка (Нене): эндемичная птица, символ штата;Животные;;
Фахверк: традиционная каркасная архитектура Европы;Архитектура;;
"Иоганн Вольфганг фон Гёте: поэт, драматург, ученый (""Фауст"")";Люди;;
Тридцатилетняя война (1618-1648): религиозный конфликт в Европе;История;;
Барокко в музыке: Бах, Гендель, Вивальди;Культура;;
Поиск жизни на Марсе: Серия - Часть 1: Ранние представления (каналы Лоуэлла);Космос;;
"Поиск жизни на Марсе: Серия - Часть 2: Миссии ""Викинг"" и поиск органики";Космос;;
Поиск жизни на Марсе: Серия - Часть 3: Современные марсоходы и поиски биосигнатур;Космос;;
GPS и ГЛОНАСС: сравнение навигационных систем;Технологии;;
Синхронное катание на коньках: командный вид фигурного катания;Спорт;;
Погодные аномалии: волны жары, экстремальные холода, затяжные дожди;Явления;;
Африка: сафари в национальных парках (Серенгети, Крюгера);Путешествия;;
Теория эволюции: Серия - Часть 1: До Дарвина: Ламарк и трансформизм;Наука;;
Теория эволюции: Серия - Часть 2: Дарвин и естественный отбор;Наука;;
Теория эволюции: Серия - Часть 3: Синтетическая теория эволюции (генетика + дарвинизм);Наука;;
Река Янцзы, Китай: третья по длине река мира, Три ущелья;Природа;;
Китайская исполинская саламандра: крупнейшая амфибия (*уточнение*);Животные;;
Ар-нуво (модерн): стиль рубежа XIX-XX веков (Орта, Гимар);Архитектура;;
"Густав Климт: австрийский художник, модерн (""Поцелуй"")";Люди;;
Русско-японская война (1904-1905): Цусимское сражение;История;;
Японская поэзия: хайку и танка;Культура;;
Темная энергия: ускоренное расширение Вселенной;Космос;;
Смартфоны: эволюция от КПК до современных гаджетов;Технологии;;
Стрельба из лука: история, олимпийская дисциплина, виды луков;Спорт;;
Звуковые феномены: таосский гул, инфразвук;Явления;;
Иран: Исфахан - площадь Имама, мечети, дворцы;Путешествия;;
Физика элементарных частиц: Стандартная модель (кварки, лептоны);Наука;;
Арктика: Северный полюс, ледяной покров, белые медведи;Природа;;
Северный олень: миграции и жизнь в тундре;Животные;;
Рококо: изящный стиль XVIII века (интерьеры, декор);Архитектура;;
Мадам де Помпадур: фаворитка Людовика XV, покровительница искусств;Люди;;
Семилетняя война (1756-1763): первый глобальный конфликт?;История;;
"Эпоха Просвещения во Франции: Вольтер, Руссо, Дидро (""Энциклопедия"")";Культура;;
Астероид Веста: второй по массе астероид, миссия Dawn;Космос;;
Суперкомпьютеры: вычисления для науки и промышленности;Технологии;;
Фехтование: история, виды оружия (шпага, рапира, сабля);Спорт;;
Оптические иллюзии восприятия размера и формы;Явления;;
Камбоджа: Пномпень - Королевский дворец, Серебряная пагода, поля смерти;Путешествия;;
Биоразнообразие: важность сохранения видов и экосистем;Наука;;
Озеро Титикака: Серия - Часть 1: География и климат высокогорного озера;Природа;;
Озеро Титикака: Серия - Часть 2: Плавучие острова Урос из тростника тотора;Природа;;
Озеро Титикака: Серия - Часть 3: Культура и быт народа Уру, туризм;Культура;;
Ягуар: крупнейшая кошка Америки;Животные;;
Майя: Серия - Часть 1: Города-государства и архитектура (Тикаль, Паленке);Архитектура;;
Майя: Серия - Часть 2: Пирамиды и храмы, астрономическая ориентация;Архитектура;;
Майя: Серия - Часть 3: Письменность, календарь и математика;Наука;;
"Екатерина II Великая: ""просвещенный абсолютизм"" в России";Люди;;
Война за независимость США: декларация независимости, Джордж Вашингтон;История;;
"Американская литература: Мелвилл (""Моби Дик""), Твен (""Том Сойер"")";Культура;;
Метеороид, метеор, метеорит: в чем разница?;Космос;;
Электромобили: Tesla, история и будущее электротранспорта;Технологии;;
Сноубординг: фристайл, слалом, бордеркросс (*уточнение*);Спорт;;
Сход ледников: причины и последствия (айсберги, подъем уровня моря);Явления;;
Испания: Барселона - Гауди, Готический квартал, Ла Рамбла;Путешествия;;
Нейросети: Серия - Часть 1: Как работают искусственные нейроны и слои;Наука;;
Нейросети: Серия - Часть 2: Обучение нейросетей (с учителем, без учителя);Наука;;
Нейросети: Серия - Часть 3: Применение (распознавание образов, обработка языка);Наука;;
Река Меконг, Юго-Восточная Азия: биоразнообразие и плотины;Природа;;
Иравадийский дельфин: речной дельфин с круглой головой;Животные;;
Сталинская архитектура (ампир): высотки Москвы;Архитектура;;
"Сергей Эйзенштейн: режиссер, новатор кино (""Броненосец Потемкин"")";Люди;;
Карибский кризис (1962): мир на грани ядерной войны;История;;
"Битлз: ""британское вторжение"" и влияние на музыку";Культура;;
Гравитационные волны: Серия - Часть 1: Предсказание Эйнштейном и природа волн;Космос;;
Гравитационные волны: Серия - Часть 2: Обнаружение LIGO/Virgo (слияния черных дыр);Космос;;
Гравитационные волны: Серия - Часть 3: Слияния нейтронных звезд и рождение тяжелых элементов;Космос;;
"Облачные вычисления: хранение данных и вычисления в ""облаке""";Технологии;;
Шашки: история игры и разновидности (русские, международные);Спорт;;
Магнитные полюса Земли: смещение и возможная инверсия;Явления;;
Греция: Афины - Акрополь, Плака, древняя Агора;Путешествия;;
Археоастрономия: изучение астрономических знаний древних цивилизаций;Наука;;
Дождевые леса умеренного пояса: Хох (США), Вальдивские леса (Чили);Природа;;
Выдра: полуводное млекопитающее, игривое поведение;Животные;;
Древний Египет: Серия - Часть 1: Пирамида Джосера - первая ступенчатая пирамида;Архитектура;;
Древний Египет: Серия - Часть 2: Храмы Карнака и Луксора;Архитектура;;
Древний Египет: Серия - Часть 3: Гробницы Долины Царей (Тутанхамон);Архитектура;;
"Тутанхамон: молодой фараон и ""проклятие гробницы""";Люди;;
Крестоносцы: рыцарские ордена (тамплиеры, госпитальеры);История;;
Средневековая музыка: григорианский хорал, трубадуры;Культура;;
Мультивселенная: гипотеза о существовании множества вселенных;Космос;;
Подведение итогов: самые удивительные факты и планы на будущее канала;Итоги года;;
